sample	core	location	method	date	mean_ct	ct_from_replicate
5_13_A_S1	MIGS	Oakland	amicon	05/13/20	30.7	1
5_13_C_S2	MIGS	Oakland	amicon	05/13/20	30.7	0
5_19_F_S3	MIGS	Oakland	amicon	05/19/20	29.5	0
5_19_A_S4	MIGS	Oakland	amicon	05/19/20	29.5	1
5_28_I	MIGS	Oakland	amicon	05/28/20	31.37	0
5_28_E	MIGS	Berkeley	amicon	05/28/20	33.8	0
5_28_A	MIGS	BerkeleyHills	amicon	05/28/20	35.47	0
6_02_Nc	MIGS	Berkeley	amicon	06/02/20	33.37	0
6_02_Sc	MIGS	Oakland	amicon	06/02/20	30.37	0
6_02_Ac	MIGS	BerkeleyHills	amicon	06/02/20	36.23	0
6_09_N1	MIGS	Berkeley	amicon	06/09/20	36.8	0
9_09_S1	MIGS	Oakland	amicon	06/09/20	32.19	0
S_3_6_30_MOS	MIGS	Oakland	MOS	06/30/20	32.56	0
S_3_6_30_COL	MIGS	Oakland	COL	06/30/20	29.91	0
SQ_3_7_1_MOS	MIGS	SanQuentin	MOS	07/01/20	27.16	0
MR_1_7_1_MOS	MIGS	Marin	MOS	07/01/20	29.79	0
p630-N	ILLUMINA	Berkeley	COL	06/30/20	34.8	0
p630-S1	ILLUMINA	Oakland	COL	06/30/20	31.3	0
p630-S2	ILLUMINA	Oakland	COL	06/30/20	30.03	0
p630-SF1	ILLUMINA	SF	MOS	06/30/20	34.97	0
pMR2	ILLUMINA	Marin	MOS	07/01/20	31.79	0
pMR3	ILLUMINA	Marin	MOS	07/01/20	31.01	0
pS68-1	ILLUMINA	Oakland	COL	06/30/20	32.52	0
pSQ1	ILLUMINA	SanQuentin	MOS	07/01/20	26.91	0
pSQ2	ILLUMINA	SanQuentin	MOS	07/01/20	27.02	0
