sample,read_bases,reads,read_length,Illumina_enrichment
5_13_A_S1,6107540,82174,74.32448219631513,unenriched
5_13_C_S2,1796238,24144,74.39686878727635,unenriched
5_19_A_S4,25431914,343252,74.09108759745027,unenriched
5_19_F_S3,24851304,334748,74.23884235305364,unenriched
5_28_A_S28,71023874,978422,72.59022589434825,unenriched
5_28_E_S26,72838764,1009198,72.17489927645516,unenriched
5_28_I_S25,89771642,1248062,71.92883206122772,unenriched
630-N,4177966696,54973246,76.0,unenriched
630-S1,2563889792,33735392,76.0,unenriched
630-S2,4420453816,58163866,76.0,unenriched
630-SF1,5264810168,69273818,76.0,unenriched
6_02_Ac_S31,135654468,1880856,72.12379257104212,unenriched
6_02_Nc_S27,149433644,2067544,72.27591964185527,unenriched
6_02_Sc_S29,137437792,1903536,72.20130956283464,unenriched
6_09_N1_S30,67305300,939218,71.66099883094233,unenriched
6_09_S1_S33,67911660,953280,71.23999244712991,unenriched
MR2,2772684744,36482694,76.0,unenriched
MR3,3226234200,42450450,76.0,unenriched
MR_1_7_1_MOS_S16,430014196,5782718,74.36195159438866,unenriched
S68-1,4424180704,58212904,76.0,unenriched
SQ1,5214174560,68607560,76.0,unenriched
SQ2,5188093336,68264386,76.0,unenriched
SQ_3_7_1_MOS_S15,156949712,2109792,74.3910831020309,unenriched
S_3_6_30_COL_S14,358105668,4810964,74.43532481224138,unenriched
S_3_6_30_MOS_S13,141314258,1906076,74.13883706630796,unenriched
p630-N,1316671172,17550012,75.02394710613304,enriched
p630-S1,215779624,2945434,73.25902532530012,enriched
p630-S2,910231584,12534044,72.62074267491003,enriched
p630-SF1,890426416,12335804,72.18227656665103,enriched
pMR2,147980404,2046222,72.31884125964827,enriched
pMR3,1502600204,20761090,72.37578585710095,enriched
pS68-1,1273909514,17384174,73.27984142358446,enriched
pSQ1,152090012,2115286,71.90044844999683,enriched
pSQ2,1010081054,14005704,72.11926326588082,enriched
