sample,sample_complete_description,core,method,enrichment,subgroup,filtered_pairs,unfiltered_reads,unfiltered_pairs,pass_pairing_filter,pass_min_read_ani,unfiltered_priority_reads,filtered_singletons,mean_insert_distance,mean_mistmaches,pass_max_insert,unfiltered_singletons,mean_PID,pass_min_insert,mean_mapq_score,filtered_priority_reads,mean_pair_length,pass_min_mapq,median_insert
5_13_A_S1,5_13_A_S1_MIGS,MIGS,amicon,enriched,MIGS_amicon,1381,3313,1606,1606,1506.0,0,0,163.29016189290158,1.9084682440846823,1598.0,101,0.9871735638609672,1499.0,39.186799501868,0,148.51743462017436,1556.0,153.98007471980077
5_13_C_S2,5_13_C_S2_MIGS,MIGS,amicon,enriched,MIGS_amicon,1076,2448,1199,1199,1146.0,0,0,207.1559633027523,1.323603002502085,1186.0,50,0.9911125253929756,1140.0,39.79316096747289,0,148.836530442035,1171.0,186.26772310258548
5_19_A_S4,5_19_A_S4_MIGS,MIGS,amicon,enriched,MIGS_amicon,8235,27313,12926,12926,10659.0,0,0,181.5895095157048,3.6698127804425194,12889.0,1461,0.9753570460549073,12339.0,29.26636237041621,0,148.75491257929755,9471.0,172.18164938882873
5_19_F_S3,5_19_F_S3_MIGS,MIGS,amicon,enriched,MIGS_amicon,24688,52292,25784,25784,25317.0,0,0,236.19515978901646,0.6207725721377598,25596.0,724,0.995831775935532,25426.0,40.72281259695936,0,149.05759385665527,25586.0,206.5443298169408
5_28_A_S28,5_28_A_S28_MIGS,MIGS,amicon,enriched,MIGS_amicon,15543,37725,18367,18367,17026.0,0,0,185.4893014645832,2.153318451570752,18238.0,991,0.985212168972622,17250.0,38.384602820275504,0,145.4592475635651,17386.0,173.81858768443402
5_28_E_S26,5_28_E_S26_MIGS,MIGS,amicon,enriched,MIGS_amicon,17613,44947,21749,21749,20050.0,0,0,184.52259874017201,2.243965239781139,21622.0,1449,0.9845382530563368,19890.0,37.717412294818146,0,145.0623017150214,20323.0,165.17577819669867
5_28_I_S25,5_28_I_S25_MIGS,MIGS,amicon,enriched,MIGS_amicon,19995,66690,31436,31436,25935.0,0,0,193.27729354879762,3.6490965771726693,31269.0,3818,0.9749485613755496,29383.0,30.46733044916656,0,145.38013742206385,23812.0,178.32790431352592
630-N,630-N_ILLUMINA,ILLUMINA,MOS & COL,unenriched,Illumina_unenriched,86312,294303,125967,125967,100799.0,0,0,265.0295394825629,4.535306866083975,124769.0,42369,0.9701624548283944,119073.0,30.69911961069169,0,152.0,99942.0,214.16433669135571
630-S1,630-S1_ILLUMINA,ILLUMINA,MOS & COL,unenriched,Illumina_unenriched,78763,314509,125337,125337,96115.0,0,0,281.7926470236243,4.905510743036773,122077.0,63835,0.9677269030063362,111917.0,30.117499222097226,0,152.0,97192.0,180.35426889106967
630-S2,630-S2_ILLUMINA,ILLUMINA,MOS & COL,unenriched,Illumina_unenriched,70088,248587,94821,94821,80458.0,0,0,224.799843916432,3.607259995148754,93646.0,58945,0.9762680263477048,83223.0,34.49344554476329,0,152.0,81965.0,154.87737948344775
630-SF1,630-SF1_ILLUMINA,ILLUMINA,MOS & COL,unenriched,Illumina_unenriched,119961,374784,157654,157654,135880.0,0,0,204.39190252070992,3.274664772222716,156328.0,59476,0.978456152814324,138439.0,35.17007497431084,0,152.0,138417.0,162.25755768962412
6_02_Ac_S31,6_02_Ac_S31_MIGS,MIGS,amicon,enriched,MIGS_amicon,7095,20732,9777,9777,8332.0,0,0,263.267873580853,3.410146261634448,9716.0,1178,0.9764520094483328,8893.0,34.18021888104736,0,144.78899457911425,8437.0,185.01523984862442
6_02_Nc_S27,6_02_Nc_S27_MIGS,MIGS,amicon,enriched,MIGS_amicon,10954,31660,15083,15083,13281.0,0,0,247.07021149638663,2.9803752569117545,14977.0,1494,0.9794584165719156,13825.0,33.87555526088974,0,144.85871510972618,12771.0,196.19942982165352
6_02_Sc_S29,6_02_Sc_S29_MIGS,MIGS,amicon,enriched,MIGS_amicon,5356,19227,8872,8872,7037.0,0,0,246.7357980162309,4.091185752930569,8833.0,1483,0.971912029128264,8393.0,28.297452660054105,0,145.43270964833187,6354.0,217.14551397655543
