common_name	genome
Poliovirus	Enterovirus_C_strain_Human_poliovirus_1_Mahoney-tax138950-GCF_000861165.1_ViralProj15288_genomic.fna
Hepatitis A	Hepatovirus_A-tax12092-GCF_000860505.1_ViralProj15308_genomic.fna
rotavirus	Adult_diarrheal_rotavirus_strain_J19-tax335103-GCF_000864245.1_ViralMultiSegProj16144_genomic.fna
rotavirus	Human_rotavirus_B_strain_Bang373-tax10942-GCF_000907835.1_ViralMultiSegProj209367_genomic.fna
norovirus GI	Norovirus_GI_Hu_JP_2007_GI_P3_GI_3_Shimizu_KK2866-tax1529909-GCF_003813225.1_ASM381322v1_genomic.fna
norovirus GII	Norovirus_GII_17_strain_Hu_GII_P17_GII_17_KR_2015_CAU_267-tax552592-GCF_003638645.1_ASM363864v1_genomic.fna
norovirus GII	Norovirus_GII_Hu_JP_2007_GII_P15_GII_15_Sapporo_HK299-tax1529918-GCF_007608995.1_ASM760899v1_genomic.fna
norovirus GII	Norovirus_GII_Hu_JP_2011_GII_Yuzawa_Gira2HS-tax1529924-GCF_007609035.1_ASM760903v1_genomic.fna
norovirus GII	Norovirus_GII-tax122929-GCF_003638685.1_ASM363868v1_genomic.fna
norovirus GII	Norovirus_GII-tax122929-GCF_004193815.1_ASM419381v1_genomic.fna
norovirus GII	Norovirus_GII-tax122929-GCF_008711635.1_ASM871163v1_genomic.fna
norovirus GI	Norovirus_GI_strain_Hu_BD_2011_GI_7_PNA2_Dhaka1882-tax122928-GCF_008704025.1_ASM870402v1_genomic.fna
norovirus GI	Norovirus_GI_strain_Hu_JP_1998_GI_6_PNA4_No20_Saitama_98_17-tax122928-GCF_008703965.1_ASM870396v1_genomic.fna
norovirus GI	Norovirus_GI_strain_Hu_JP_2000_GI_6_PNA1_WUG1-tax122928-GCF_008703985.1_ASM870398v1_genomic.fna
dengue virus	Dengue_virus_1-tax11053-GCF_000862125.1_ViralProj15306_genomic.fna
dengue virus	Dengue_virus_2_strain_16681-tax11060-GCF_000871845.1_ViralProj20183_genomic.fna
