viral_NCBI_refname,description
NC_010318.1," Abaca bunchy top virus DNA-C, complete sequence"
NC_010317.1," Abaca bunchy top virus DNA-M, complete genome"
NC_010314.1," Abaca bunchy top virus DNA-N, complete genome"
NC_010319.1," Abaca bunchy top virus DNA-R, complete genome"
NC_010316.1," Abaca bunchy top virus DNA-S, complete genome"
NC_010315.1," Abaca bunchy top virus segment 2, complete sequence"
NC_018874.1," Abalone herpesvirus Victoria/AUS/2009, complete genome"
NC_011646.1," Abalone shriveling syndrome-associated virus, complete genome"
NC_001499.1," Abelson murine leukemia virus, complete genome"
NC_035470.1," Abisko virus isolate Abisko-6, complete genome"
NC_014138.1," Abutilon Brazil virus DNA A segment, complete sequence"
NC_014139.1," Abutilon Brazil virus DNA B segment, complete sequence"
NC_038438.1," Abutilon golden mosaic Yucatan virus isolate Conkal-2007 segment A, complete sequence"
NC_015045.1," Abutilon mosaic Bolivia virus DNA-A, complete genome"
NC_015048.1," Abutilon mosaic Bolivia virus DNA-B, complete genome"
NC_016574.1," Abutilon mosaic Brazil virus DNA-A, complete genome"
NC_016577.1," Abutilon mosaic Brazil virus DNA-B, complete genome"
NC_001928.2, Abutilon mosaic virus subgenome DNA A
NC_001929.2, Abutilon mosaic virus subgenome DNA B
NC_014649.1," Acanthamoeba polyphaga mimivirus, complete genome"
NC_020104.1," Acanthamoeba polyphaga moumouvirus, complete genome"
NC_008724.1," Acanthocystis turfacea Chlorella virus 1, complete genome"
NC_020099.1," Acartia tonsa copepod circovirus isolate 154_D11, complete genome"
NC_004290.1," Acheta domesticus densovirus, complete genome"
NC_022564.1," Acheta domesticus mini ambidensovirus isolate Kalamazoo, complete genome"
NC_021074.1," Acheta domesticus volvovirus isolate AdVVV-Japan, complete genome"
NC_025403.1," Achimota virus 1, complete genome"
NC_025404.1," Achimota virus 2, complete genome"
NC_001447.1," Acholeplasma phage L2, complete genome"
NC_001341.1," Acholeplasma phage MV-L1, complete genome"
NC_028834.1," Achromobacter phage 83-24, complete genome"
NC_023556.1," Achromobacter phage JWAlpha, complete genome"
NC_029075.1," Achromobacter phage JWF, complete genome"
NC_028768.1," Achromobacter phage JWX, complete genome"
NC_029033.1," Achromobacter phage phiAxp-1, complete genome"
NC_029106.1," Achromobacter phage phiAxp-2, complete genome"
NC_028908.2," Achromobacter phage phiAxp-3, complete genome"
NC_028938.1," Acidianus bottle-shaped virus 2 strain ABV2, complete genome"
NC_028787.1," Acidianus bottle-shaped virus 3 strain ABV3, complete genome"
NC_009452.1," Acidianus bottle-shaped virus, complete genome"
NC_005830.1," Acidianus filamentous virus 1, complete genome"
NC_009884.1," Acidianus filamentous virus 2, complete genome"
NC_010152.1," Acidianus filamentous virus 6, complete genome"
NC_010153.1," Acidianus filamentous virus 7, complete genome"
NC_010154.1," Acidianus filamentous virus 8, complete genome"
NC_010537.1," Acidianus filamentous virus 9, complete genome"
NC_009965.1," Acidianus rod-shaped virus 1, complete genome"
NC_029314.1," Acidianus rod-shaped virus 2 strain ARV2, complete genome"
NC_013585.1," Acidianus spindle-shaped virus 1, complete genome"
NC_029316.1," Acidianus tailed spindle virus isolate 1, complete genome"
NC_007409.1," Acidianus two-tailed virus, complete genome"
NC_041997.1," Acidovorax phage ACP17, complete genome"
NC_042028.1," Acinetobacter phage AB1, complete genome"
NC_048142.1," Acinetobacter phage AbKT21phiIII, complete genome"
NC_021316.1," Acinetobacter phage Abp1, complete genome"
NC_041998.1," Acinetobacter phage AbP2, complete genome"
NC_014660.1," Acinetobacter phage Ac42, complete genome"
NC_014661.1," Acinetobacter phage Acj61, complete genome"
NC_014663.1," Acinetobacter phage Acj9, complete genome"
NC_002700.2," Acinetobacter phage AP205, complete genome"
NC_017984.1," Acinetobacter bacteriophage AP22, complete genome"
NC_028848.1," Acinetobacter phage Fri1, complete genome"
NC_028987.2," Acinetobacter phage IME200, complete genome"
NC_041857.1," Acinetobacter phage IME-AB2, complete genome"
NC_023590.1," Acinetobacter phage IME_AB3, complete genome"
NC_042137.1," Acinetobacter phage vB_AbaS_Loki genome assembly, complete genome: monopartite"
NC_031117.1," Acinetobacter phage LZ35, complete genome"
NC_023570.1," Acinetobacter phage Petty, complete genome"
NC_028675.1," Acinetobacter phage phiAB1, complete genome"
NC_031086.1," Acinetobacter phage phiAB6, complete genome"
NC_028995.1," Acinetobacter phage phiAC-1, complete genome"
NC_023581.1," Acinetobacter phage Presley, complete genome"
NC_041905.1," Acinetobacter phage SH-Ab 15519, complete genome"
